t,x_pid,z_pid,th_pid,b_pid,dx_pid,dz_pid,dth_pid,db_pid,T1_pid,T2_pid,x_havok,z_havok,th_havok,b_havok,dx_havok,dz_havok,dth_havok,db_havok,T1_havok,T2_havok,x_dmd,z_dmd,th_dmd,b_dmd,dx_dmd,dz_dmd,dth_dmd,db_dmd,T1_dmd,T2_dmd
6.1,0,8.67226518517479e-16,0,0,0,-2.67212652764481e-15,0,0,31.8825,31.8825,0,9.03912386536081e-15,0,0,0,2.96363123975146e-15,0,0,31.8825,31.8825,0,9.03912386536081e-15,0,0,0,2.96363123975146e-15,0,0,31.8825,31.8825
6.2,0,5.92726247950329e-16,0,0,0,-2.81787888369817e-15,0,0,31.8825,31.8825,0,9.33791619527018e-15,0,0,0,3.01221535843591e-15,0,0,31.8825,31.8825,0,9.33791619527018e-15,0,0,0,3.01221535843591e-15,0,0,31.8825,31.8825
6.3,0,3.03650741777845e-16,0,0,0,-2.96363123975152e-15,0,0,31.8825,31.8825,0,9.64151835292931e-15,0,0,0,3.06079947712036e-15,0,0,31.8825,31.8825,0,9.64151835292931e-15,0,0,0,3.06079947712036e-15,0,0,31.8825,31.8825
6.4,0,2.61094470700689e-29,0,0,0,-3.10938359580487e-15,0,0,31.8825,31.8825,0,9.95007609069425e-15,0,0,0,3.10938359580481e-15,0,0,31.8825,31.8825,0,9.95007609069425e-15,0,0,0,3.10938359580481e-15,0,0,31.8825,31.8825
6.5,0,-3.18225977383128e-16,0,0,0,-3.25513595185822e-15,0,0,31.8825,31.8825,0,1.0263443656209e-14,0,0,0,3.15796771448926e-15,0,0,31.8825,31.8825,0,1.0263443656209e-14,0,0,0,3.15796771448926e-15,0,0,31.8825,31.8825
6.6,0,-6.51027190371618e-16,0,0,0,-3.40088830791157e-15,0,0,31.8825,31.8825,0,1.05816210494734e-14,0,0,0,3.2065518331737e-15,0,0,31.8825,31.8825,0,1.05816210494734e-14,0,0,0,3.2065518331737e-15,0,0,31.8825,31.8825
6.7,0,-9.9138323381554e-16,0,0,0,-3.38145466043779e-15,0,0,31.8825,31.8825,0,1.09047540228437e-14,0,0,0,3.25513595185815e-15,0,0,31.8825,31.8825,0,1.09047540228437e-14,0,0,0,3.25513595185815e-15,0,0,31.8825,31.8825
6.8,0,-1.3270994939251e-15,0,0,0,-3.33287054175335e-15,0,0,31.8825,31.8825,0,1.12326968239637e-14,0,0,0,3.3037200705426e-15,0,0,31.8825,31.8825,0,1.12326968239637e-14,0,0,0,3.3037200705426e-15,0,0,31.8825,31.8825
6.9,0,-1.65795734216621e-15,0,0,0,-3.2842864230689e-15,0,0,31.8825,31.8825,0,1.15654494528335e-14,0,0,0,3.35230418922705e-15,0,0,31.8825,31.8825,0,1.15654494528335e-14,0,0,0,3.35230418922705e-15,0,0,31.8825,31.8825
7,0,-1.98385961030151e-15,0,0,0,-3.21626865691067e-15,0,0,31.8825,31.8825,0,1.19031576618091e-14,0,0,0,3.40088830791149e-15,0,0,31.8825,31.8825,0,1.19031576618091e-14,0,0,0,3.40088830791149e-15,0,0,31.8825,31.8825
7.1,0,-2.29334044632146e-15,0,0,0,-2.97334806348841e-15,0,0,31.8825,31.8825,0,1.22456756985345e-14,0,0,0,3.44947242659594e-15,0,0,31.8825,31.8825,0,1.22456756985345e-14,0,0,0,3.44947242659594e-15,0,0,31.8825,31.8825
7.2,0,-2.57852922299919e-15,0,0,0,-2.73042747006616e-15,0,0,31.8825,31.8825,0,1.25930035630096e-14,0,0,0,3.49805654528039e-15,0,0,31.8825,31.8825,0,1.25930035630096e-14,0,0,0,3.49805654528039e-15,0,0,31.8825,31.8825
7.3,0,-2.8394259403347e-15,0,0,0,-2.4875068766439e-15,0,0,31.8825,31.8825,0,1.29452870075906e-14,0,0,0,3.54664066396484e-15,0,0,31.8825,31.8825,0,1.29452870075906e-14,0,0,0,3.54664066396484e-15,0,0,31.8825,31.8825
7.4,0,-3.07603059832797e-15,0,0,0,-2.24458628322165e-15,0,0,31.8825,31.8825,0,1.33023802799213e-14,0,0,0,3.59522478264929e-15,0,0,31.8825,31.8825,0,1.33023802799213e-14,0,0,0,3.59522478264929e-15,0,0,31.8825,31.8825
7.5,0,-3.28834319697902e-15,0,0,0,-2.00166568979939e-15,0,0,31.8825,31.8825,0,1.36642833800018e-14,0,0,0,3.64380890133373e-15,0,0,31.8825,31.8825,0,1.36642833800018e-14,0,0,0,3.64380890133373e-15,0,0,31.8825,31.8825
7.6,0,-3.47636373628785e-15,0,0,0,-1.75874509637714e-15,0,0,31.8825,31.8825,0,1.4031142060188e-14,0,0,0,3.69239302001818e-15,0,0,31.8825,31.8825,0,1.4031142060188e-14,0,0,0,3.69239302001818e-15,0,0,31.8825,31.8825
7.7,0,-3.64009221625445e-15,0,0,0,-1.51582450295488e-15,0,0,31.8825,31.8825,0,1.44028105681241e-14,0,0,0,3.74097713870263e-15,0,0,31.8825,31.8825,0,1.44028105681241e-14,0,0,0,3.74097713870263e-15,0,0,31.8825,31.8825
7.8,0,-3.77952863687883e-15,0,0,0,-1.27290390953263e-15,0,0,31.8825,31.8825,0,1.47792889038099e-14,0,0,0,3.78956125738708e-15,0,0,31.8825,31.8825,0,1.47792889038099e-14,0,0,0,3.78956125738708e-15,0,0,31.8825,31.8825
7.9,0,-3.89467299816098e-15,0,0,0,-1.02998331611037e-15,0,0,31.8825,31.8825,0,1.51607228196015e-14,0,0,0,3.83814537607153e-15,0,0,31.8825,31.8825,0,1.51607228196015e-14,0,0,0,3.83814537607153e-15,0,0,31.8825,31.8825
8,0,-3.9855253001009e-15,0,0,0,-7.87062722688114e-16,0,0,31.8825,31.8825,0,1.55469665631429e-14,0,0,0,3.88672949475597e-15,0,0,31.8825,31.8825,0,1.55469665631429e-14,0,0,0,3.88672949475597e-15,0,0,31.8825,31.8825
8.1,0,-4.0520855426986e-15,0,0,0,-5.44142129265858e-16,0,0,31.8825,31.8825,0,1.5938020134434e-14,0,0,0,3.93531361344042e-15,0,0,31.8825,31.8825,0,1.5938020134434e-14,0,0,0,3.93531361344042e-15,0,0,31.8825,31.8825
8.2,0,-4.09435372595407e-15,0,0,0,-3.01221535843602e-16,0,0,31.8825,31.8825,0,1.6334029285831e-14,0,0,0,3.98389773212487e-15,0,0,31.8825,31.8825,0,1.6334029285831e-14,0,0,0,3.98389773212487e-15,0,0,31.8825,31.8825
